,t,controller,scenario,rollout,measurement,value,unsafe
97,0.12,Nominal,0,0,XDOT,-3.9890756668369862,
98,0.12,Nominal,0,0,Y,2.248929013302001,
99,0.12,Nominal,0,0,YDOT,-2.211814194220153,
100,0.12,Nominal,0,0,PHI,0.870651210182392,
101,0.12,Nominal,0,0,PHIDOT,0.3555896968252509,
102,0.12,Nominal,0,0,T1,17.574852369587717,
103,0.12,Nominal,0,0,T2,12.021302690797977,
104,0.13,Nominal,0,0,X,14.546750906573637,
105,0.13,Nominal,0,0,XDOT,-4.075621074717067,
106,0.13,Nominal,0,0,Y,2.2268108713597994,
107,0.13,Nominal,0,0,YDOT,-2.2314237749087233,
108,0.13,Nominal,0,0,PHI,0.8742071071506441,
109,0.13,Nominal,0,0,PHIDOT,0.29997401456071937,
110,0.13,Nominal,0,0,T1,17.615433254524124,
111,0.13,Nominal,0,0,T2,12.066126888650583,
112,0.14,Nominal,0,0,X,14.505994695826466,
113,0.14,Nominal,0,0,XDOT,-4.162612637858948,
114,0.14,Nominal,0,0,Y,2.204496633610712,
115,0.14,Nominal,0,0,YDOT,-2.2511169734886294,
116,0.14,Nominal,0,0,PHI,0.8772068472962511,
117,0.14,Nominal,0,0,PHIDOT,0.24441330676170053,
118,0.14,Nominal,0,0,T1,17.653103572831597,
119,0.14,Nominal,0,0,T2,12.114368975995324,
120,0.15,Nominal,0,0,X,14.464368569447876,
121,0.15,Nominal,0,0,XDOT,-4.2500095572152095,
122,0.15,Nominal,0,0,Y,2.181985463875826,
123,0.15,Nominal,0,0,YDOT,-2.2708443033771473,
124,0.15,Nominal,0,0,PHI,0.8796509803638681,
125,0.15,Nominal,0,0,PHIDOT,0.18897084559266303,
126,0.15,Nominal,0,0,T1,17.687938043355015,
127,0.15,Nominal,0,0,T2,12.16581838321487,
128,0.16,Nominal,0,0,X,14.421868473875724,
129,0.16,Nominal,0,0,XDOT,-4.337770789783609,
130,0.16,Nominal,0,0,Y,2.159277020842054,
131,0.16,Nominal,0,0,YDOT,-2.290555920444799,
132,0.16,Nominal,0,0,PHI,0.8815406888197952,
133,0.16,Nominal,0,0,PHIDOT,0.13370703606558043,
134,0.16,Nominal,0,0,T1,17.72000669196541,
135,0.16,Nominal,0,0,T2,12.22026754765478,
136,0.17,Nominal,0,0,X,14.378490765977888,
137,0.17,Nominal,0,0,XDOT,-4.425855006677937,
138,0.17,Nominal,0,0,Y,2.1363714616376064,
139,0.17,Nominal,0,0,YDOT,-2.3102017476379655,
140,0.17,Nominal,0,0,PHI,0.8828777591804506,
141,0.17,Nominal,0,0,PHIDOT,0.07867949368584135,
142,0.17,Nominal,0,0,T1,17.74937496594297,
143,0.17,Nominal,0,0,T2,12.277512139288062,
144,0.18,Nominal,0,0,X,14.33423221591111,
145,0.18,Nominal,0,0,XDOT,-4.514220550573067,
146,0.18,Nominal,0,0,Y,2.1132694441612268,
147,0.18,Nominal,0,0,YDOT,-2.3297315991454597,
148,0.18,Nominal,0,0,PHI,0.8836645541173089,
149,0.18,Nominal,0,0,PHIDOT,0.023943123193466108,
150,0.18,Nominal,0,0,T1,17.776103856972032,
151,0.18,Nominal,0,0,T2,12.337351278257623,
152,0.19,Nominal,0,0,X,14.28909001040538,
153,0.19,Nominal,0,0,XDOT,-4.602825393230831,
154,0.19,Nominal,0,0,Y,2.089972128169772,
155,0.19,Nominal,0,0,YDOT,-2.3490953040186597,
156,0.19,Nominal,0,0,PHI,0.8839039853492441,
157,0.19,Nominal,0,0,PHIDOT,-0.030449801767958105,
158,0.19,Nominal,0,0,T1,17.800250033063303,
159,0.19,Nominal,0,0,T2,12.399587743724698,
160,0.2,Nominal,0,0,X,14.243061756473072,
161,0.2,Nominal,0,0,XDOT,-4.6916270937865265,
162,0.2,Nominal,0,0,Y,2.0664811751295855,
163,0.2,Nominal,0,0,YDOT,-2.3682428291536497,
164,0.2,Nominal,0,0,PHI,0.8835994873315647,
165,0.2,Nominal,0,0,PHIDOT,-0.08444955823104548,
166,0.2,Nominal,0,0,T1,17.821865979650035,
167,0.2,Nominal,0,0,T2,12.464028173515297,
168,0.21,Nominal,0,0,X,14.196145485535206,
169,0.21,Nominal,0,0,XDOT,-4.780582758447198,
170,0.21,Nominal,0,0,Y,2.042798746838049,
171,0.21,Nominal,0,0,YDOT,-2.3871244015390114,
172,0.21,Nominal,0,0,PHI,0.8827549917492545,
173,0.21,Nominal,0,0,PHIDOT,-0.13800889291701177,
174,0.21,Nominal,0,0,T1,17.841000150031817,
175,0.21,Nominal,0,0,T2,12.530483254115317,
176,0.22,Nominal,0,0,X,14.148339657950734,
177,0.22,Nominal,0,0,XDOT,-4.869649002222326,
178,0.22,Nominal,0,0,Y,2.0189275028226588,
179,0.22,Nominal,0,0,YDOT,-2.40569062966481,
180,0.22,Nominal,0,0,PHI,0.8813749028200846,
181,0.22,Nominal,0,0,PHIDOT,-0.19108294087082398,
182,0.22,Nominal,0,0,T1,17.857697125262753,
183,0.22,Nominal,0,0,T2,12.598767900617865,
184,0.23,Nominal,0,0,X,14.09964316792851,
185,0.23,Nominal,0,0,XDOT,-4.958781913275356,
186,0.23,Nominal,0,0,Y,1.9948705965260107,
187,0.23,Nominal,0,0,YDOT,-2.423892623977317,
188,0.23,Nominal,0,0,PHI,0.8794640734113761,
189,0.23,Nominal,0,0,PHIDOT,-0.24362914391410648,
190,0.23,Nominal,0,0,T1,17.871997783501165,
191,0.23,Nominal,0,0,T2,12.668701426274264,
192,0.24,Nominal,0,0,X,14.050055348795757,
193,0.24,Nominal,0,0,XDOT,-5.0479370204506475,
194,0.24,Nominal,0,0,Y,1.9706316702862376,
195,0.24,Nominal,0,0,YDOT,-2.4416821162505085,
196,0.24,Nominal,0,0,PHI,0.8770277819722354,
197,0.24,Nominal,0,0,PHIDOT,-0.29560716911442286,
198,0.24,Nominal,0,0,T1,17.883939478755636,
199,0.24,Nominal,0,0,T2,12.740107701343337,
200,0.25,Nominal,0,0,X,13.99957597859125,
201,0.25,Nominal,0,0,XDOT,-5.13706926449495,
202,0.25,Nominal,0,0,Y,1.9462148491237325,
203,0.25,Nominal,0,0,YDOT,-2.459011577729781,
204,0.25,Nominal,0,0,PHI,0.8740717102810915,
205,0.25,Nominal,0,0,PHIDOT,-0.34697882747191056,
206,0.25,Nominal,0,0,T1,17.89355622887818,
207,0.25,Nominal,0,0,T2,12.812815300972717,
208,0.26,Nominal,0,0,X,13.948205285946301,
209,0.26,Nominal,0,0,XDOT,-5.2261329734555035,
210,0.26,Nominal,0,0,Y,1.9216247333464347,
211,0.26,Nominal,0,0,YDOT,-2.475834335886059,
212,0.26,Nominal,0,0,PHI,0.8706019220063723,
213,0.26,Nominal,0,0,PHIDOT,-0.39770799302537024,
