,t,controller,scenario,rollout,measurement,value,unsafe
98,0.12,Nominal,0,0,Y,6.740474009802099,
99,0.12,Nominal,0,0,YDOT,-2.2008538408622265,
100,0.12,Nominal,0,0,PHI,-0.6950914623300108,
101,0.12,Nominal,0,0,PHIDOT,1.1632367396196217,
102,0.12,Nominal,0,0,T1,16.436598139273457,
103,0.12,Nominal,0,0,T2,18.393749237060547,
104,0.13,Nominal,0,0,X,0.5679497489751375,
105,0.13,Nominal,0,0,XDOT,4.918298638921218,
106,0.13,Nominal,0,0,Y,6.718465471393477,
107,0.13,Nominal,0,0,YDOT,-2.1897548387337613,
108,0.13,Nominal,0,0,PHI,-0.6834590949338146,
109,0.13,Nominal,0,0,PHIDOT,1.1825459407127084,
110,0.13,Nominal,0,0,T1,16.58644075859892,
111,0.13,Nominal,0,0,T2,18.393749237060547,
112,0.14,Nominal,0,0,X,0.6171327353643496,
113,0.14,Nominal,0,0,XDOT,5.0017373555299685,
114,0.14,Nominal,0,0,Y,6.69656792300614,
115,0.14,Nominal,0,0,YDOT,-2.177171503759419,
116,0.14,Nominal,0,0,PHI,-0.6716336355266876,
117,0.14,Nominal,0,0,PHIDOT,1.2003523613876939,
118,0.14,Nominal,0,0,T1,16.692364650066814,
119,0.14,Nominal,0,0,T2,18.393749237060547,
120,0.15,Nominal,0,0,X,0.6671501089196493,
121,0.15,Nominal,0,0,XDOT,5.08406715017127,
122,0.15,Nominal,0,0,Y,6.674796207968546,
123,0.15,Nominal,0,0,YDOT,-2.163231828541727,
124,0.15,Nominal,0,0,PHI,-0.6596301119128105,
125,0.15,Nominal,0,0,PHIDOT,1.2170955278001383,
126,0.15,Nominal,0,0,T1,16.7695195773889,
127,0.15,Nominal,0,0,T2,18.393749237060547,
128,0.16,Nominal,0,0,X,0.717990780421362,
129,0.16,Nominal,0,0,XDOT,5.165178747790704,
130,0.16,Nominal,0,0,Y,6.653163889683129,
131,0.16,Nominal,0,0,YDOT,-2.1480218695710804,
132,0.16,Nominal,0,0,PHI,-0.6474591566348091,
133,0.16,Nominal,0,0,PHIDOT,1.233063369355336,
134,0.16,Nominal,0,0,T1,16.82791716338042,
135,0.16,Nominal,0,0,T2,18.393749237060547,
136,0.17,Nominal,0,0,X,0.769642567899269,
137,0.17,Nominal,0,0,XDOT,5.2449910140250005,
138,0.17,Nominal,0,0,Y,6.631683670987418,
139,0.17,Nominal,0,0,YDOT,-2.1315999789032003,
140,0.17,Nominal,0,0,PHI,-0.6351285229412555,
141,0.17,Nominal,0,0,PHIDOT,1.2484436343023475,
142,0.17,Nominal,0,0,T1,16.874176358610345,
143,0.17,Nominal,0,0,T2,18.393749237060547,
144,0.18,Nominal,0,0,X,0.822092478039519,
